record_id,phase_predicted,drift_crossed_predicted,response_crossed_predicted,tail_causal_starvation_certified_predicted,weak_only_learnable_predicted,tau_star_drift_predicted,tau_star_response_predicted,phase_observed,drift_crossed_observed,response_crossed_observed,tail_causal_starvation_certified_observed,weak_only_learnable_observed,tau_star_drift_observed,tau_star_response_observed,model_kind,rho,lag_separation,regime,data_seed,model_seed,phase_correct,drift_crossing_correct,response_crossing_correct,certificate_correct,learnability_correct,predicted_drift_time,observed_drift_time,drift_time_error,predicted_response_time,observed_response_time,response_time_error,n_trajectory_points,response_gap_rmse,drift_rmse,response_gap_sign_agreement,drift_sign_agreement,both_m_w_rmse,weak_m_w_rmse
tanh_rho-4_lag-2_positive_data-201_model-2010,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,201,2010,True,True,True,True,True,,,,,,,101,2.457668437007578,0.4623022374543967,1.0,1.0,0.06334198826426897,2.5192993795972742
tanh_rho-4_lag-2_positive_data-201_model-2011,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,201,2011,True,True,True,True,True,,,,,,,101,2.5758954720634164,0.4945479269760567,1.0,1.0,0.018770553275419415,2.5945055109410484
tanh_rho-4_lag-2_positive_data-201_model-2012,transfer_then_starvation,True,True,True,True,0.0601022061545171,0.1168905687540993,transfer_then_starvation,True,True,True,True,0.07536019339796549,0.14805021672054713,tanh,4.0,2,positive,201,2012,True,True,True,True,True,0.0601022061545171,0.07536019339796549,-0.015257987243448387,0.1168905687540993,0.14805021672054713,-0.031159647966447837,101,2.4327459989365083,0.45869888125481045,1.0,1.0,0.04338979188932279,2.4750381910056323
tanh_rho-4_lag-2_positive_data-201_model-2013,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,201,2013,True,True,True,True,False,,,,,,,101,2.446506858242711,0.5032619847722961,1.0,1.0,0.03227493805564089,2.477171771568997
tanh_rho-4_lag-2_positive_data-201_model-2014,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.1205195981204384,0.2518300648013692,transfer_then_starvation,True,True,True,True,0.28653916294041676,0.5350115440555742,tanh,4.0,2,positive,201,2014,False,True,True,False,False,0.1205195981204384,0.28653916294041676,-0.16601956481997837,0.2518300648013692,0.5350115440555742,-0.28318147925420495,101,2.409413086137774,0.49509459967829306,0.9702970297029703,0.9900990099009901,0.04078771807515973,2.4477557974242488
tanh_rho-4_lag-2_positive_data-201_model-2015,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.2741503138001148,0.6394714313128135,transfer_then_starvation,True,True,True,True,0.3450252032090323,0.7443832768709578,tanh,4.0,2,positive,201,2015,False,True,True,False,False,0.2741503138001148,0.3450252032090323,-0.07087488940891751,0.6394714313128135,0.7443832768709578,-0.10491184555814437,101,2.4643610838041354,0.5151600492724001,0.9900990099009901,0.9900990099009901,0.027078716158674247,2.4899887534485186
tanh_rho-4_lag-2_positive_data-201_model-2016,transfer_then_suppression,True,False,False,False,0.0435599326553106,inf,transfer_then_suppression,True,False,False,True,0.03236273847772901,inf,tanh,4.0,2,positive,201,2016,True,True,True,True,False,0.0435599326553106,0.03236273847772901,0.011197194177581589,,,,101,2.3560874534893617,0.4984886312898422,1.0,1.0,0.037720391385683685,2.3919734566115762
tanh_rho-4_lag-2_positive_data-201_model-2017,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,201,2017,True,True,True,True,True,,,,,,,101,2.5014339391033404,0.49685035951590306,1.0,1.0,0.022696603826746875,2.523577809757274
tanh_rho-4_lag-2_positive_data-202_model-2010,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,202,2010,True,True,True,True,True,,,,,,,101,2.46379301666382,0.46390278997653694,1.0,1.0,0.06207195468904528,2.524143111509041
tanh_rho-4_lag-2_positive_data-202_model-2011,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,202,2011,True,True,True,True,True,,,,,,,101,2.5818166226601362,0.49615536880279837,1.0,1.0,0.018143318520859264,2.5998024508597175
