record_id,phase_predicted,drift_crossed_predicted,response_crossed_predicted,tail_causal_starvation_certified_predicted,weak_only_learnable_predicted,tau_star_drift_predicted,tau_star_response_predicted,phase_observed,drift_crossed_observed,response_crossed_observed,tail_causal_starvation_certified_observed,weak_only_learnable_observed,tau_star_drift_observed,tau_star_response_observed,model_kind,rho,lag_separation,regime,data_seed,model_seed,phase_correct,drift_crossing_correct,response_crossing_correct,certificate_correct,learnability_correct,predicted_drift_time,observed_drift_time,drift_time_error,predicted_response_time,observed_response_time,response_time_error,n_trajectory_points,response_gap_rmse,drift_rmse,response_gap_sign_agreement,drift_sign_agreement,both_m_w_rmse,weak_m_w_rmse
tanh_rho-4_lag-2_positive_data-200_model-2000,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,200,2000,True,True,True,True,False,,,,,,,101,2.243214836275585,0.47643144521348857,1.0,1.0,0.027449258545250693,2.269229502217705
tanh_rho-4_lag-2_positive_data-200_model-2001,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,200,2001,True,True,True,True,True,,,,,,,101,2.4692910573743507,0.48678455905147267,1.0,1.0,0.015404240439530528,2.4843431805331293
tanh_rho-4_lag-2_positive_data-200_model-2002,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.1259085403706953,0.2637331608835888,transfer_then_starvation,True,True,True,True,0.08442105738611984,0.18336875449498583,tanh,4.0,2,positive,200,2002,False,True,True,False,False,0.1259085403706953,0.08442105738611984,0.041487482984575455,0.2637331608835888,0.18336875449498583,0.08036440638860295,101,2.2984811990480303,0.4850575230383857,0.9900990099009901,0.9900990099009901,0.018241080670258085,2.3159132046272393
tanh_rho-4_lag-2_positive_data-200_model-2003,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,200,2003,True,True,True,True,True,,,,,,,101,2.367992225137537,0.48886002877241436,1.0,1.0,0.008147105472963982,2.3760189701643433
tanh_rho-4_lag-2_positive_data-200_model-2004,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,200,2004,True,True,True,True,False,,,,,,,101,2.4491327179100333,0.5189862959981448,1.0,1.0,0.006994039830546925,2.4559238911100536
tanh_rho-4_lag-2_positive_data-200_model-2005,transfer_then_starvation,True,True,True,True,0.0905448232105495,0.195130122828177,transfer_then_starvation,True,True,True,True,0.24898243700229084,0.47053610891727593,tanh,4.0,2,positive,200,2005,True,True,True,True,True,0.0905448232105495,0.24898243700229084,-0.15843761379174132,0.195130122828177,0.47053610891727593,-0.27540598608909894,101,2.4597023591510165,0.48292619941422543,0.9702970297029703,0.9801980198019802,0.06054083872298948,2.5176288944586402
tanh_rho-4_lag-2_positive_data-200_model-2006,transfer_then_suppression,True,False,False,False,0.043009895336748,inf,transfer_then_starvation,True,True,True,True,0.0548096993917233,0.10502848128998335,tanh,4.0,2,positive,200,2006,False,True,False,False,False,0.043009895336748,0.0548096993917233,-0.011799804054975306,,0.10502848128998335,,101,2.3702186127408855,0.48432533489870666,0.9900990099009901,1.0,0.03613814456631573,2.404498049173363
tanh_rho-4_lag-2_positive_data-200_model-2007,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,200,2007,True,True,True,True,True,,,,,,,101,2.2803066660872378,0.46686323319850614,1.0,1.0,0.05059223124208978,2.328833189037458
gru_rho-4_lag-2_positive_data-200_model-2000,transfer_then_outcome_crossing_unlearnable,True,True,False,False,1.9221292338551088,5.337272462469394,transfer_then_outcome_crossing_unlearnable,True,True,False,False,3.3371845784924608,6.931023055941786,gru,4.0,2,positive,200,2000,True,True,True,True,True,1.9221292338551088,3.3371845784924608,-1.415055344637352,5.337272462469394,6.931023055941786,-1.5937505934723921,101,0.016605715797492145,0.012307624383862797,0.8415841584158416,0.8613861386138614,0.024713366784572564,0.029613956397671587
gru_rho-4_lag-2_positive_data-200_model-2001,transfer_then_outcome_crossing_unlearnable,True,True,False,False,1.0525319539648337,2.487912643376624,transfer_then_outcome_crossing_unlearnable,True,True,False,False,2.474803192491246,4.8199264481020005,gru,4.0,2,positive,200,2001,True,True,True,True,True,1.0525319539648337,2.474803192491246,-1.4222712385264125,2.487912643376624,4.8199264481020005,-2.3320138047253764,101,0.025044598718963675,0.016287984476113196,0.7623762376237624,0.8613861386138614,0.023922278079827296,0.041829861020387125
