model_kind,rho,lag_separation,regime,seed,both_hitting_time,weak_hitting_time,delta_tw,right_censored,weak_auc_gap,tail_single_transfer_to_suppression,tail_positive_area,tail_negative_area,tail_area_margin,tail_response_equality_reached,tail_strict_outcome_starvation,tail_causal_starvation_certified,tau_star_drift,tau_star_drift_projected,tau_star_projected_gap,tau_star_matched_state,tau_star_convention_gap,tau_star_decomposition_check,abs_tau_star_error,tau_star_response,drift_leads_response_by,drift_crossed,response_crossed,n_sign_changes_d_w,n_sign_changes_d_w_matched,max_decomposition_reconstruction_error,initial_d_w,final_d_w,initial_d_w_projected,final_d_w_projected,initial_d_w_matched,final_d_w_matched,mean_t_geom,mean_s_ce,final_equal_time_geometry_a,final_equal_time_field_a,final_equal_time_geometry_b,final_equal_time_field_b,max_equal_time_projection_residual,mean_equal_time_projection_residual,max_mode_residual_rms,max_equal_time_reconstruction_error,final_dominance_ordering_invariant,dominance_ordering_invariant_fraction,final_both_m_s,final_both_m_w,final_weak_m_w,final_accuracy,final_gsi5,phase
tanh,4.0,2,positive,20,inf,2.9927329436398535,,True,21.071933114901185,False,,,,False,False,False,inf,inf,,inf,,inf,0.0,inf,,False,False,0,0,9.5367431640625e-07,-0.01270909234881401,-0.20073305070400238,-0.0055495575070381165,-0.19238950312137604,-0.0055496059358119965,-8.087738037109375,-3.8700524716070936,0.26728572905822057,-0.18836331367492676,-0.004026189912110567,-0.10925769805908203,-0.0831318125128746,0.013782262802124023,-0.010545598398340812,1.8939452171325684,1.1920928955078125e-07,True,0.39603960396039606,1.6940784454345703,0.10800335556268692,4.474026679992676,1.0,0.062810087531182,suppression_throughout
tanh,4.0,2,positive,21,inf,1.8652879636814919,,True,25.225327517837286,True,0.00047830864787101746,4.467626836150885,4.467148527503014,True,True,True,0.07005601106384751,0.13401022968915766,-0.06395421862531014,0.1340096683166027,-0.06395365725275517,0.1340096720151566,3.698553907582891e-09,0.13268403943620383,0.06262802837235631,True,True,1,1,9.5367431640625e-07,0.015541955828666687,-0.16893307864665985,0.027577415108680725,-0.16338807344436646,0.02757863700389862,-8.38336181640625,-4.661400986060795,0.33386652695596,-0.15991264581680298,-0.0034754369407892227,-0.10233129560947418,-0.06105678901076317,0.015629269182682037,-0.008137644443771627,1.6969358921051025,1.1920928955078125e-07,True,0.42574257425742573,1.6438889503479004,0.2089102417230606,4.676058769226074,1.0,0.06986275875857806,transfer_then_starvation
tanh,4.0,2,positive,22,inf,1.8173849979893113,,True,23.885292971879245,False,,,,False,False,False,inf,0.0394040813493626,,0.039128732418627146,,0.03912872751805857,4.900568575938458e-09,inf,,False,False,0,1,4.76837158203125e-07,-0.0076539963483810425,-0.16181530058383942,0.004399128258228302,-0.15305641293525696,0.004400409758090973,-6.416179180145264,-3.543792525735121,0.4302303672020031,-0.1465255171060562,-0.0065309121273458,-0.08515480160713196,-0.0679016187787056,0.02196936309337616,-0.013362463526796587,1.8472554683685303,1.1920928955078125e-07,True,0.32673267326732675,1.631667137145996,0.2587733566761017,4.481049060821533,1.0,0.06326026475651958,suppression_throughout
tanh,4.0,2,positive,23,inf,3.004145076477594,,True,21.16598030766472,False,,,,False,False,False,inf,0.016838895141669002,,0.01678258228167692,,0.016782507589216348,7.469246057073553e-08,inf,,False,False,0,1,9.5367431640625e-07,-0.005000419914722443,-0.20498836040496826,0.0015851035714149475,-0.19836091995239258,0.0015848129987716675,-8.464703559875488,-3.9831935153434994,0.2596511393831582,-0.19422942399978638,-0.0041314889676868916,-0.1040637418627739,-0.09429717063903809,0.011125780642032623,-0.008534624029209119,1.6613539457321167,1.1920928955078125e-07,True,0.31683168316831684,1.6597046852111816,0.08424846827983856,4.4729156494140625,1.0,0.0776731174059051,suppression_throughout
tanh,4.0,2,positive,24,inf,2.3132750048641557,,True,22.399585243687028,True,0.002448786050081253,4.267856243997812,4.265407457947731,True,True,True,0.18342092818790562,0.30960859256400264,-0.12618766437609702,0.3102411897436797,-0.12682026155577408,0.31024121880514055,2.906146084891148e-08,0.3921522650569571,0.2087313368690515,True,True,1,1,9.5367431640625e-07,0.028349630534648895,-0.18287673592567444,0.0419175922870636,-0.17568467557430267,0.04191772639751434,-6.9386773109436035,-3.623618715368949,0.24880769707511483,-0.17112433910369873,-0.004560338798910379,-0.0874621570110321,-0.08822251856327057,0.016212008893489838,-0.011218297636449928,1.7273399829864502,1.1920928955078125e-07,False,0.18811881188118812,1.6458548307418823,0.17382775247097015,4.439235210418701,1.0,0.06490666989921834,transfer_then_starvation
tanh,4.0,2,positive,25,inf,2.3430199638758116,,True,22.88830656372011,True,0.004752077162265778,4.350038893520832,4.345286816358566,True,True,True,0.32916607904450207,0.489743788978632,-0.16057770993412995,0.4914256024906478,-0.16225952344614575,0.49142559550248616,6.988161660448355e-09,0.642035184044688,0.3128691050001859,True,True,1,1,4.76837158203125e-07,0.031098127365112305,-0.17821183800697327,0.04176892712712288,-0.17068558931350708,0.0417691208422184,-7.670748233795166,-4.039758610954084,0.31781259305788995,-0.1662551313638687,-0.0044304546900093555,-0.09859111905097961,-0.07209447026252747,0.016559958457946777,-0.010529009422453323,1.7701218128204346,1.1920928955078125e-07,True,0.37623762376237624,1.6508972644805908,0.2134118378162384,4.558698654174805,1.0,0.07688993775861042,transfer_then_starvation
tanh,4.0,2,positive,26,inf,2.734013788926746,,True,22.140463121840728,False,,,,False,False,False,inf,inf,,inf,,inf,0.0,inf,,False,False,0,0,9.5367431640625e-07,-0.024229973554611206,-0.19391600787639618,-0.01742630824446678,-0.18866831064224243,-0.01742631569504738,-8.022027969360352,-4.050210381327842,0.20932257140405697,-0.18521298468112946,-0.0034553268924355507,-0.09438973665237427,-0.09427858144044876,0.008899912238121033,-0.0063122257516525756,1.7108912467956543,1.1920928955078125e-07,True,0.22772277227722773,1.6836450099945068,0.06385087221860886,4.458071708679199,1.0,0.07430510285823266,suppression_throughout
tanh,4.0,2,positive,27,inf,2.6937854339771556,,True,21.843046911712733,False,,,,False,False,False,inf,0.0076094281686308165,,0.00758373001676701,,0.007583686067245253,4.394952175714589e-08,inf,,False,False,0,1,4.76837158203125e-07,-0.006400100886821747,-0.19249938428401947,0.0008875429630279541,-0.18763047456741333,0.0008876323699951172,-7.6332550048828125,-3.8803127966567614,0.19309395064869528,-0.18440978229045868,-0.003220695536583662,-0.09774933755397797,-0.08988113701343536,0.01034902036190033,-0.006177890492547857,1.7438304424285889,1.1920928955078125e-07,True,0.26732673267326734,1.6634578704833984,0.08344727754592896,4.413132667541504,1.0,0.07045731400495658,suppression_throughout
gru,4.0,2,positive,20,inf,inf,,True,0.3386896444368176,False,,,,False,False,False,inf,inf,,inf,,inf,0.0,inf,,False,False,0,0,4.6566128730773926e-09,-0.014604982919991016,-0.016626114025712013,-0.016001243144273758,-0.01637791469693184,-0.016001252457499504,-0.017117157578468323,0.014455399273129383,0.022647533985712082,0.020317619666457176,-0.036695536226034164,0.000929156260099262,-0.017307071015238762,0.0013962602242827415,0.00011415005025297108,1.6299077272415161,3.725290298461914e-09,True,0.9504950495049505,1.3509262800216675,0.004696314223110676,0.08282294869422913,1.0,0.03793947172371337,suppression_throughout
gru,4.0,2,positive,21,inf,inf,,True,0.039464416424743826,True,0.008370127528905869,0.05678798630833626,0.04841785877943039,True,True,False,3.425173012011842,4.1088742995095195,-0.6837012874976773,4.123822189030608,-0.6986491770187655,4.123821918645785,2.703848229757e-07,6.253126120955592,2.82795310894375,True,True,1,1,3.259629011154175e-09,0.0021042758598923683,-0.02207946963608265,0.0026789777912199497,-0.021154331043362617,0.002679115626960993,-0.021821491420269012,0.02393138008468812,0.027721256266652356,0.024818118661642075,-0.04597244784235954,0.003188401460647583,-0.0243427325040102,0.001475395169109106,-0.0011826653983259556,1.711469292640686,4.190951585769653e-09,True,1.0,1.339313268661499,0.06431173533201218,0.11272959411144257,1.0,0.024184599828710573,transfer_then_outcome_crossing_unlearnable
gru,4.0,2,positive,22,inf,inf,,True,0.2114442597609013,False,,,,False,False,False,inf,inf,,inf,,inf,0.0,inf,,False,False,0,0,3.725290298461914e-09,-0.00923981610685587,-0.019129619002342224,-0.01010376587510109,-0.018692534416913986,-0.010103771463036537,-0.01944674924015999,0.014208839019059692,0.02077073391583416,0.015200614929199219,-0.033893149346113205,0.0016719009727239609,-0.020364435389637947,0.0008639497682452202,-0.00029936004522265774,1.6314125061035156,3.725290298461914e-09,True,0.9801980198019802,1.3348653316497803,0.034644320607185364,0.10096348077058792,1.0,0.05651404410023775,suppression_throughout
gru,4.0,2,positive,23,inf,inf,,True,-0.10985499258385971,True,0.02323019877076149,0.04925275966525078,0.02602256089448929,True,True,False,4.453211570856277,5.084498215975629,-0.631286645119352,5.121677660061715,-0.6684660892054373,5.121677442648819,2.174128956866639e-07,8.458430274765801,4.005218703909524,True,True,1,1,5.122274160385132e-09,0.007491776719689369,-0.021507354453206062,0.008063167333602905,-0.020374620333313942,0.008063165470957756,-0.020726783201098442,0.02632685060990919,0.02752355127573213,0.027773816138505936,-0.04814843833446503,0.003969133831560612,-0.02434375509619713,0.0018971306271851063,-0.0014302215658792174,1.5714541673660278,4.6566128730773926e-09,True,1.0,1.3078100681304932,0.08363054692745209,0.10965310782194138,1.0,0.030123263545531853,transfer_then_outcome_crossing_unlearnable
gru,4.0,2,positive,24,inf,inf,,True,0.047055662795901274,True,0.017172828316688538,0.10208482295274734,0.08491199463605881,True,True,False,3.6591980384797242,4.261764245513505,-0.6025662070337807,4.28716480272495,-0.627966764245226,4.287164546499112,2.5622583788020847e-07,6.572547107338511,2.9133490688587864,True,True,1,1,3.725290298461914e-09,0.004898999817669392,-0.041620321571826935,0.005607008934020996,-0.040205325931310654,0.005607006140053272,-0.042362865060567856,0.02305764243430873,0.029947826009195315,0.010316976346075535,-0.050522297620773315,0.003834379371255636,-0.04403970390558243,0.002573528327047825,-0.001912662556560913,1.6657838821411133,3.725290298461914e-09,True,1.0,1.3091319799423218,0.10223076492547989,0.1871427595615387,1.0,0.029085082543007457,transfer_then_outcome_crossing_unlearnable
gru,4.0,2,positive,25,inf,inf,,True,0.4234300701646134,False,,,,False,False,False,inf,inf,,inf,,inf,0.0,inf,,False,False,0,0,3.725290298461914e-09,-0.009098129346966743,-0.037257835268974304,-0.009969035163521767,-0.03670121356844902,-0.00996885634958744,-0.0395389199256897,0.018070531683964747,0.0313265034375657,0.011855078861117363,-0.04855629429221153,0.0011498881503939629,-0.03785110265016556,0.0008922358974814415,-0.00041138695663597326,1.6625924110412598,3.725290298461914e-09,True,0.9801980198019802,1.3466726541519165,0.026590507477521896,0.1568147838115692,1.0,0.051829805512641824,suppression_throughout
gru,4.0,2,positive,26,inf,inf,,True,-0.041130155083374136,True,0.015453774482011795,0.05078465864062309,0.0353308841586113,True,True,False,4.12808366720869,4.866890672474319,-0.7388070052656284,4.895149410212812,-0.7670657430041219,4.895150443017706,1.0328048940522194e-06,7.642254095836413,3.5141704286277227,True,True,1,1,5.587935447692871e-09,0.006779726129025221,-0.02155946008861065,0.007647897116839886,-0.020367208868265152,0.007647889666259289,-0.020855702459812164,0.028371770732510505,0.030489463835352795,0.032054152339696884,-0.052421361207962036,0.0042300596833229065,-0.024597270414233208,0.0018321028910577297,-0.0014784054664692076,1.7747386693954468,5.587935447692871e-09,True,1.0,1.3333516120910645,0.07510398328304291,0.1104348674416542,1.0,0.028501732253033984,transfer_then_outcome_crossing_unlearnable
gru,4.0,2,positive,27,inf,inf,,True,-0.02174790920689704,True,0.024036403745412827,0.09754187986254692,0.0735054761171341,True,True,False,3.5657832757368317,4.226779479102054,-0.6609962033652219,4.262009536848184,-0.6962262611113519,4.262009071181768,4.656664156499346e-07,7.0739536074555796,3.508170331718748,True,True,1,1,4.6566128730773926e-09,0.010397125035524368,-0.03884413465857506,0.01142918225377798,-0.03749599680304527,0.011429176665842533,-0.03925125673413277,0.025359383378509837,0.03081621603503141,0.012284442782402039,-0.04978044331073761,0.003640187671408057,-0.04113618656992912,0.0029862457886338234,-0.002095172767259992,1.5999811887741089,3.725290298461914e-09,True,1.0,1.309849739074707,0.1034540981054306,0.1769595742225647,1.0,0.0373945964043233,transfer_then_outcome_crossing_unlearnable
