record_id,model_kind,cell_id,data_seed,model_seed,beta,both_hitting_time,both_hitting_time_status,causal_starvation_certified,gated_delta_tw,gated_delta_tw_status,regime,right_censored,target_met_at_initialization,weak_auc_gap,weak_hitting_time,weak_hitting_time_status,weak_only_learnable,outcome_suppression,all_beta_robust_causal_certificate
esa-tanh-rho3_lag1-d301-m3010,tanh,rho3_lag1,301,3010,0.25,6.4215867540531217,finite,false,4.6357537113907297,finite,starvation,false,false,17.874971580831335,1.7858330426623918,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3010,tanh,rho3_lag1,301,3010,0.5,,right_censored,false,,right_censored,starvation,true,false,17.874971580831335,2.5175236150181814,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3010,tanh,rho3_lag1,301,3010,1,,right_censored,false,,right_censored,starvation,true,false,17.874971580831335,3.3620549665829298,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3010,tanh,rho3_lag1,301,3010,2,,right_censored,false,,right_censored,starvation,true,false,17.874971580831335,4.7204958158773183,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3011,tanh,rho3_lag1,301,3011,0.25,1.815133210563405,finite,false,0.82589746242554818,finite,starvation,false,false,21.324754018336535,0.98923574813785686,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3011,tanh,rho3_lag1,301,3011,0.5,9.9999761089432191,finite,false,8.3983532676986901,finite,starvation,false,false,21.324754018336535,1.601622841244529,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3011,tanh,rho3_lag1,301,3011,1,,right_censored,false,,right_censored,starvation,true,false,21.324754018336535,2.3559915682182528,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3011,tanh,rho3_lag1,301,3011,2,,right_censored,false,,right_censored,starvation,true,false,21.324754018336535,3.5766416601868092,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3012,tanh,rho3_lag1,301,3012,0.25,1.4936009006395645,finite,false,0.68942509017281961,finite,starvation,false,false,21.335671493038532,0.80417581046674491,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3012,tanh,rho3_lag1,301,3012,0.5,8.2933834968409688,finite,false,6.8733324495876431,finite,starvation,false,false,21.335671493038532,1.4200510472533254,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3012,tanh,rho3_lag1,301,3012,1,,right_censored,false,,right_censored,starvation,true,false,21.335671493038532,2.184001447748797,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3012,tanh,rho3_lag1,301,3012,2,,right_censored,false,,right_censored,starvation,true,false,21.335671493038532,3.4475234147493246,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3013,tanh,rho3_lag1,301,3013,0.25,2.0435626094081716,finite,true,0.99985851521748548,finite,starvation,false,false,20.744961053319273,1.0437040941906861,finite,true,true,true
esa-tanh-rho3_lag1-d301-m3013,tanh,rho3_lag1,301,3013,0.5,,right_censored,true,,right_censored,starvation,true,false,20.744961053319273,1.6710835363191874,finite,true,true,true
esa-tanh-rho3_lag1-d301-m3013,tanh,rho3_lag1,301,3013,1,,right_censored,true,,right_censored,starvation,true,false,20.744961053319273,2.4500982150615047,finite,true,true,true
esa-tanh-rho3_lag1-d301-m3013,tanh,rho3_lag1,301,3013,2,,right_censored,true,,right_censored,starvation,true,false,20.744961053319273,3.7180864939641971,finite,true,true,true
esa-tanh-rho3_lag1-d301-m3014,tanh,rho3_lag1,301,3014,0.25,2.4261965668125209,finite,false,1.3496771822322304,finite,starvation,false,false,20.636614952981468,1.0765193845802905,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3014,tanh,rho3_lag1,301,3014,0.5,,right_censored,false,,right_censored,starvation,true,false,20.636614952981468,1.7549403837195974,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3014,tanh,rho3_lag1,301,3014,1,,right_censored,false,,right_censored,starvation,true,false,20.636614952981468,2.5516750501364371,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3014,tanh,rho3_lag1,301,3014,2,,right_censored,false,,right_censored,starvation,true,false,20.636614952981468,3.8194393254491716,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3015,tanh,rho3_lag1,301,3015,0.25,2.1587116081743218,finite,false,1.2773962617831245,finite,starvation,false,false,21.527702528610824,0.88131534639119735,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3015,tanh,rho3_lag1,301,3015,0.5,,right_censored,false,,right_censored,starvation,true,false,21.527702528610824,1.4903125954826426,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3015,tanh,rho3_lag1,301,3015,1,,right_censored,false,,right_censored,starvation,true,false,21.527702528610824,2.2594771080165228,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3015,tanh,rho3_lag1,301,3015,2,,right_censored,false,,right_censored,starvation,true,false,21.527702528610824,3.5258514339940956,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3016,tanh,rho3_lag1,301,3016,0.25,1.6618441224111999,finite,true,0.6371590551367925,finite,starvation,false,false,20.369661851786077,1.0246850672744074,finite,true,true,true
esa-tanh-rho3_lag1-d301-m3016,tanh,rho3_lag1,301,3016,0.5,8.6939139217411139,finite,true,7.0358477463895266,finite,starvation,false,false,20.369661851786077,1.6580661753515868,finite,true,true,true
esa-tanh-rho3_lag1-d301-m3016,tanh,rho3_lag1,301,3016,1,,right_censored,true,,right_censored,starvation,true,false,20.369661851786077,2.4424636588660649,finite,true,true,true
esa-tanh-rho3_lag1-d301-m3016,tanh,rho3_lag1,301,3016,2,,right_censored,true,,right_censored,starvation,true,false,20.369661851786077,3.7217911804316244,finite,true,true,true
esa-tanh-rho3_lag1-d301-m3017,tanh,rho3_lag1,301,3017,0.25,2.5871531824228087,finite,false,1.4724886944412001,finite,starvation,false,false,20.9243723295629,1.1146644879816086,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3017,tanh,rho3_lag1,301,3017,0.5,,right_censored,false,,right_censored,starvation,true,false,20.9243723295629,1.73914129758109,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3017,tanh,rho3_lag1,301,3017,1,,right_censored,false,,right_censored,starvation,true,false,20.9243723295629,2.5070683807339167,finite,true,false,false
esa-tanh-rho3_lag1-d301-m3017,tanh,rho3_lag1,301,3017,2,,right_censored,false,,right_censored,starvation,true,false,20.9243723295629,3.7589055297285667,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3010,tanh,rho3_lag1,302,3010,0.25,5.9734576093330451,finite,false,4.181791810123431,finite,starvation,false,false,17.799332503182811,1.7916657992096141,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3010,tanh,rho3_lag1,302,3010,0.5,,right_censored,false,,right_censored,starvation,true,false,17.799332503182811,2.5250486096067379,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3010,tanh,rho3_lag1,302,3010,1,,right_censored,false,,right_censored,starvation,true,false,17.799332503182811,3.3706439536317303,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3010,tanh,rho3_lag1,302,3010,2,,right_censored,false,,right_censored,starvation,true,false,17.799332503182811,4.7276177557350065,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3011,tanh,rho3_lag1,302,3011,0.25,1.7639910969419612,finite,false,0.77157870475653179,finite,starvation,false,false,21.245686522871257,0.99241239218542943,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3011,tanh,rho3_lag1,302,3011,0.5,9.1213716442953015,finite,false,7.5151585720326599,finite,starvation,false,false,21.245686522871257,1.6062130722626418,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3011,tanh,rho3_lag1,302,3011,1,,right_censored,false,,right_censored,starvation,true,false,21.245686522871257,2.3616504752038741,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3011,tanh,rho3_lag1,302,3011,2,,right_censored,false,,right_censored,starvation,true,false,21.245686522871257,3.5809920206759842,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3012,tanh,rho3_lag1,302,3012,0.25,1.4560312261383273,finite,false,0.64941485845428382,finite,starvation,false,false,21.260082334280014,0.80661636768404343,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3012,tanh,rho3_lag1,302,3012,0.5,7.664223306479065,finite,false,6.2401967737131869,finite,starvation,false,false,21.260082334280014,1.4240265327658785,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3012,tanh,rho3_lag1,302,3012,1,,right_censored,false,,right_censored,starvation,true,false,21.260082334280014,2.1889860372855616,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3012,tanh,rho3_lag1,302,3012,2,,right_censored,false,,right_censored,starvation,true,false,21.260082334280014,3.451114649681529,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3013,tanh,rho3_lag1,302,3013,0.25,1.9817693635926039,finite,true,0.93470779068551035,finite,starvation,false,false,20.675698869023471,1.0470615729070936,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3013,tanh,rho3_lag1,302,3013,0.5,,right_censored,true,,right_censored,starvation,true,false,20.675698869023471,1.6759223790682347,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3013,tanh,rho3_lag1,302,3013,1,,right_censored,true,,right_censored,starvation,true,false,20.675698869023471,2.4559224294212214,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3013,tanh,rho3_lag1,302,3013,2,,right_censored,true,,right_censored,starvation,true,false,20.675698869023471,3.7225630086636912,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3014,tanh,rho3_lag1,302,3014,0.25,2.340894663757191,finite,false,1.260981091625877,finite,starvation,false,false,20.564309827797114,1.079913572131314,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3014,tanh,rho3_lag1,302,3014,0.5,,right_censored,false,,right_censored,starvation,true,false,20.564309827797114,1.759938445912627,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3014,tanh,rho3_lag1,302,3014,1,,right_censored,false,,right_censored,starvation,true,false,20.564309827797114,2.5577636418412566,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3014,tanh,rho3_lag1,302,3014,2,,right_censored,false,,right_censored,starvation,true,false,20.564309827797114,3.8241826186205774,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3015,tanh,rho3_lag1,302,3015,0.25,2.0804702850999148,finite,false,1.1963700233970203,finite,starvation,false,false,21.452243402041496,0.88410026170289469,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3015,tanh,rho3_lag1,302,3015,0.5,,right_censored,false,,right_censored,starvation,true,false,21.452243402041496,1.4946266597526303,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3015,tanh,rho3_lag1,302,3015,1,,right_censored,false,,right_censored,starvation,true,false,21.452243402041496,2.2647181819167441,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3015,tanh,rho3_lag1,302,3015,2,,right_censored,false,,right_censored,starvation,true,false,21.452243402041496,3.5297197240582223,finite,true,false,false
esa-tanh-rho3_lag1-d302-m3016,tanh,rho3_lag1,302,3016,0.25,1.6212401326608925,finite,true,0.59331432643785842,finite,starvation,false,false,20.293437444232403,1.0279258062230341,finite,true,true,true
esa-tanh-rho3_lag1-d302-m3016,tanh,rho3_lag1,302,3016,0.5,8.0591050105361752,finite,true,6.3963009498296088,finite,starvation,false,false,20.293437444232403,1.6628040607065668,finite,true,true,true
