record_id,method_id,cell_id,data_seed,model_seed,paired_wall_time_ratio_to_erm,process_peak_rss_bytes,static_parameter_bytes,cuda_status
esb-erm-rho4_lag2-d301-m3010,erm,rho4_lag2,301,3010,1,412434432,17152,N/A
esb-erm-rho4_lag2-d301-m3011,erm,rho4_lag2,301,3011,1,410173440,17152,N/A
esb-erm-rho4_lag2-d301-m3012,erm,rho4_lag2,301,3012,1,412712960,17152,N/A
esb-erm-rho4_lag2-d301-m3013,erm,rho4_lag2,301,3013,1,404111360,17152,N/A
esb-erm-rho4_lag2-d301-m3014,erm,rho4_lag2,301,3014,1,404684800,17152,N/A
esb-erm-rho4_lag2-d301-m3015,erm,rho4_lag2,301,3015,1,406192128,17152,N/A
esb-erm-rho4_lag2-d301-m3016,erm,rho4_lag2,301,3016,1,396328960,17152,N/A
esb-erm-rho4_lag2-d301-m3017,erm,rho4_lag2,301,3017,1,413270016,17152,N/A
esb-erm-rho4_lag2-d302-m3010,erm,rho4_lag2,302,3010,1,377307136,17152,N/A
esb-erm-rho4_lag2-d302-m3011,erm,rho4_lag2,302,3011,1,401784832,17152,N/A
esb-erm-rho4_lag2-d302-m3012,erm,rho4_lag2,302,3012,1,393445376,17152,N/A
esb-erm-rho4_lag2-d302-m3013,erm,rho4_lag2,302,3013,1,421855232,17152,N/A
esb-erm-rho4_lag2-d302-m3014,erm,rho4_lag2,302,3014,1,396574720,17152,N/A
esb-erm-rho4_lag2-d302-m3015,erm,rho4_lag2,302,3015,1,400195584,17152,N/A
esb-erm-rho4_lag2-d302-m3016,erm,rho4_lag2,302,3016,1,402800640,17152,N/A
esb-erm-rho4_lag2-d302-m3017,erm,rho4_lag2,302,3017,1,409305088,17152,N/A
esb-erm-rho4_lag2-d303-m3010,erm,rho4_lag2,303,3010,1,388218880,17152,N/A
esb-erm-rho4_lag2-d303-m3011,erm,rho4_lag2,303,3011,1,375734272,17152,N/A
esb-erm-rho4_lag2-d303-m3012,erm,rho4_lag2,303,3012,1,395018240,17152,N/A
esb-erm-rho4_lag2-d303-m3013,erm,rho4_lag2,303,3013,1,393232384,17152,N/A
esb-erm-rho4_lag2-d303-m3014,erm,rho4_lag2,303,3014,1,405520384,17152,N/A
esb-erm-rho4_lag2-d303-m3015,erm,rho4_lag2,303,3015,1,398819328,17152,N/A
esb-erm-rho4_lag2-d303-m3016,erm,rho4_lag2,303,3016,1,376176640,17152,N/A
esb-erm-rho4_lag2-d303-m3017,erm,rho4_lag2,303,3017,1,405913600,17152,N/A
esb-erm-rho4_lag2-d304-m3010,erm,rho4_lag2,304,3010,1,402276352,17152,N/A
esb-erm-rho4_lag2-d304-m3011,erm,rho4_lag2,304,3011,1,383909888,17152,N/A
esb-erm-rho4_lag2-d304-m3012,erm,rho4_lag2,304,3012,1,407633920,17152,N/A
esb-erm-rho4_lag2-d304-m3013,erm,rho4_lag2,304,3013,1,399835136,17152,N/A
esb-erm-rho4_lag2-d304-m3014,erm,rho4_lag2,304,3014,1,382255104,17152,N/A
esb-erm-rho4_lag2-d304-m3015,erm,rho4_lag2,304,3015,1,410632192,17152,N/A
esb-erm-rho4_lag2-d304-m3016,erm,rho4_lag2,304,3016,1,408780800,17152,N/A
esb-erm-rho4_lag2-d304-m3017,erm,rho4_lag2,304,3017,1,409387008,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3010,counterfactual_drift,rho4_lag2,301,3010,1.5025687887658066,373866496,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3011,counterfactual_drift,rho4_lag2,301,3011,1.4878546126312782,407060480,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3012,counterfactual_drift,rho4_lag2,301,3012,1.6027069646454701,388628480,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3013,counterfactual_drift,rho4_lag2,301,3013,1.5884583837724728,384794624,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3014,counterfactual_drift,rho4_lag2,301,3014,1.8596618532062525,377176064,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3015,counterfactual_drift,rho4_lag2,301,3015,2.1766446943400455,347422720,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3016,counterfactual_drift,rho4_lag2,301,3016,2.1637471475268701,384008192,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3017,counterfactual_drift,rho4_lag2,301,3017,1.8489678713582103,365035520,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3010,counterfactual_drift,rho4_lag2,302,3010,1.2678127534976262,393822208,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3011,counterfactual_drift,rho4_lag2,302,3011,1.2971954916113368,387989504,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3012,counterfactual_drift,rho4_lag2,302,3012,1.4442059632039881,385974272,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3013,counterfactual_drift,rho4_lag2,302,3013,1.6317666960357922,398606336,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3014,counterfactual_drift,rho4_lag2,302,3014,1.4771535497655028,397737984,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3015,counterfactual_drift,rho4_lag2,302,3015,1.4400661741229852,387088384,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3016,counterfactual_drift,rho4_lag2,302,3016,1.6911442562417622,390250496,17152,N/A
