record_id,method_id,cell_id,data_seed,model_seed,diagnostic_status,target_attainment_fraction,feasibility_fraction,cap_binding_fraction,max_absolute_strong_drift_change
esb-erm-rho4_lag2-d301-m3010,erm,rho4_lag2,301,3010,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d301-m3011,erm,rho4_lag2,301,3011,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d301-m3012,erm,rho4_lag2,301,3012,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d301-m3013,erm,rho4_lag2,301,3013,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d301-m3014,erm,rho4_lag2,301,3014,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d301-m3015,erm,rho4_lag2,301,3015,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d301-m3016,erm,rho4_lag2,301,3016,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d301-m3017,erm,rho4_lag2,301,3017,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d302-m3010,erm,rho4_lag2,302,3010,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d302-m3011,erm,rho4_lag2,302,3011,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d302-m3012,erm,rho4_lag2,302,3012,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d302-m3013,erm,rho4_lag2,302,3013,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d302-m3014,erm,rho4_lag2,302,3014,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d302-m3015,erm,rho4_lag2,302,3015,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d302-m3016,erm,rho4_lag2,302,3016,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d302-m3017,erm,rho4_lag2,302,3017,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d303-m3010,erm,rho4_lag2,303,3010,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d303-m3011,erm,rho4_lag2,303,3011,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d303-m3012,erm,rho4_lag2,303,3012,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d303-m3013,erm,rho4_lag2,303,3013,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d303-m3014,erm,rho4_lag2,303,3014,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d303-m3015,erm,rho4_lag2,303,3015,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d303-m3016,erm,rho4_lag2,303,3016,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d303-m3017,erm,rho4_lag2,303,3017,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d304-m3010,erm,rho4_lag2,304,3010,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d304-m3011,erm,rho4_lag2,304,3011,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d304-m3012,erm,rho4_lag2,304,3012,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d304-m3013,erm,rho4_lag2,304,3013,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d304-m3014,erm,rho4_lag2,304,3014,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d304-m3015,erm,rho4_lag2,304,3015,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d304-m3016,erm,rho4_lag2,304,3016,N/A,N/A,N/A,N/A,N/A
esb-erm-rho4_lag2-d304-m3017,erm,rho4_lag2,304,3017,N/A,N/A,N/A,N/A,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3010,counterfactual_drift,rho4_lag2,301,3010,available,1,1,0,5.9604644775390625e-08
esb-counterfactual_drift-rho4_lag2-d301-m3011,counterfactual_drift,rho4_lag2,301,3011,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d301-m3012,counterfactual_drift,rho4_lag2,301,3012,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d301-m3013,counterfactual_drift,rho4_lag2,301,3013,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d301-m3014,counterfactual_drift,rho4_lag2,301,3014,available,1,1,0,5.9604644775390625e-08
esb-counterfactual_drift-rho4_lag2-d301-m3015,counterfactual_drift,rho4_lag2,301,3015,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d301-m3016,counterfactual_drift,rho4_lag2,301,3016,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d301-m3017,counterfactual_drift,rho4_lag2,301,3017,available,1,1,0,5.9604644775390625e-08
esb-counterfactual_drift-rho4_lag2-d302-m3010,counterfactual_drift,rho4_lag2,302,3010,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d302-m3011,counterfactual_drift,rho4_lag2,302,3011,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d302-m3012,counterfactual_drift,rho4_lag2,302,3012,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d302-m3013,counterfactual_drift,rho4_lag2,302,3013,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d302-m3014,counterfactual_drift,rho4_lag2,302,3014,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d302-m3015,counterfactual_drift,rho4_lag2,302,3015,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d302-m3016,counterfactual_drift,rho4_lag2,302,3016,available,1,1,0,5.9604644775390625e-08
esb-counterfactual_drift-rho4_lag2-d302-m3017,counterfactual_drift,rho4_lag2,302,3017,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d303-m3010,counterfactual_drift,rho4_lag2,303,3010,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d303-m3011,counterfactual_drift,rho4_lag2,303,3011,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d303-m3012,counterfactual_drift,rho4_lag2,303,3012,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d303-m3013,counterfactual_drift,rho4_lag2,303,3013,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d303-m3014,counterfactual_drift,rho4_lag2,303,3014,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d303-m3015,counterfactual_drift,rho4_lag2,303,3015,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d303-m3016,counterfactual_drift,rho4_lag2,303,3016,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d303-m3017,counterfactual_drift,rho4_lag2,303,3017,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d304-m3010,counterfactual_drift,rho4_lag2,304,3010,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d304-m3011,counterfactual_drift,rho4_lag2,304,3011,available,1,1,0,5.9604644775390625e-08
esb-counterfactual_drift-rho4_lag2-d304-m3012,counterfactual_drift,rho4_lag2,304,3012,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d304-m3013,counterfactual_drift,rho4_lag2,304,3013,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d304-m3014,counterfactual_drift,rho4_lag2,304,3014,available,1,1,0,5.9604644775390625e-08
esb-counterfactual_drift-rho4_lag2-d304-m3015,counterfactual_drift,rho4_lag2,304,3015,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d304-m3016,counterfactual_drift,rho4_lag2,304,3016,available,1,1,0,1.1920928955078125e-07
esb-counterfactual_drift-rho4_lag2-d304-m3017,counterfactual_drift,rho4_lag2,304,3017,available,1,1,0,1.1920928955078125e-07
esb-bloop-rho4_lag2-d301-m3010,bloop,rho4_lag2,301,3010,available,1,1,0,0.2559545636177063
esb-bloop-rho4_lag2-d301-m3011,bloop,rho4_lag2,301,3011,available,1,1,0,0.25691923499107361
esb-bloop-rho4_lag2-d301-m3012,bloop,rho4_lag2,301,3012,available,1,1,0,0.25563150644302368
esb-bloop-rho4_lag2-d301-m3013,bloop,rho4_lag2,301,3013,available,1,1,0,0.2726573646068573
esb-bloop-rho4_lag2-d301-m3014,bloop,rho4_lag2,301,3014,available,1,1,0,0.26918601989746094
esb-bloop-rho4_lag2-d301-m3015,bloop,rho4_lag2,301,3015,available,1,1,0,0.2815081775188446
esb-bloop-rho4_lag2-d301-m3016,bloop,rho4_lag2,301,3016,available,1,1,0,0.25764724612236023
esb-bloop-rho4_lag2-d301-m3017,bloop,rho4_lag2,301,3017,available,1,1,0,0.25961950421333313
esb-bloop-rho4_lag2-d302-m3010,bloop,rho4_lag2,302,3010,available,1,1,0,0.26085224747657776
esb-bloop-rho4_lag2-d302-m3011,bloop,rho4_lag2,302,3011,available,1,1,0,0.26145514845848083
esb-bloop-rho4_lag2-d302-m3012,bloop,rho4_lag2,302,3012,available,1,1,0,0.26043698191642761
esb-bloop-rho4_lag2-d302-m3013,bloop,rho4_lag2,302,3013,available,1,1,0,0.27768838405609131
esb-bloop-rho4_lag2-d302-m3014,bloop,rho4_lag2,302,3014,available,1,1,0,0.27406147122383118
esb-bloop-rho4_lag2-d302-m3015,bloop,rho4_lag2,302,3015,available,1,1,0,0.28665620088577271
esb-bloop-rho4_lag2-d302-m3016,bloop,rho4_lag2,302,3016,available,1,1,0,0.26238498091697693
esb-bloop-rho4_lag2-d302-m3017,bloop,rho4_lag2,302,3017,available,1,1,0,0.26433083415031433
esb-bloop-rho4_lag2-d303-m3010,bloop,rho4_lag2,303,3010,available,1,1,0,0.26098841428756714
esb-bloop-rho4_lag2-d303-m3011,bloop,rho4_lag2,303,3011,available,1,1,0,0.26192960143089294
esb-bloop-rho4_lag2-d303-m3012,bloop,rho4_lag2,303,3012,available,1,1,0,0.26064956188201904
esb-bloop-rho4_lag2-d303-m3013,bloop,rho4_lag2,303,3013,available,1,1,0,0.27785992622375488
esb-bloop-rho4_lag2-d303-m3014,bloop,rho4_lag2,303,3014,available,1,1,0,0.27441823482513428
esb-bloop-rho4_lag2-d303-m3015,bloop,rho4_lag2,303,3015,available,1,1,0,0.28685706853866577
esb-bloop-rho4_lag2-d303-m3016,bloop,rho4_lag2,303,3016,available,1,1,0,0.26281073689460754
esb-bloop-rho4_lag2-d303-m3017,bloop,rho4_lag2,303,3017,available,1,1,0,0.26455941796302795
esb-bloop-rho4_lag2-d304-m3010,bloop,rho4_lag2,304,3010,available,1,1,0,0.26082918047904968
esb-bloop-rho4_lag2-d304-m3011,bloop,rho4_lag2,304,3011,available,1,1,0,0.26147523522377014
esb-bloop-rho4_lag2-d304-m3012,bloop,rho4_lag2,304,3012,available,1,1,0,0.26045474410057068
esb-bloop-rho4_lag2-d304-m3013,bloop,rho4_lag2,304,3013,available,1,1,0,0.27767258882522583
esb-bloop-rho4_lag2-d304-m3014,bloop,rho4_lag2,304,3014,available,1,1,0,0.27401578426361084
esb-bloop-rho4_lag2-d304-m3015,bloop,rho4_lag2,304,3015,available,1,1,0,0.28669154644012451
esb-bloop-rho4_lag2-d304-m3016,bloop,rho4_lag2,304,3016,available,1,1,0,0.26244580745697021
esb-bloop-rho4_lag2-d304-m3017,bloop,rho4_lag2,304,3017,available,1,1,0,0.26437166333198547
esb-pcgrad-rho4_lag2-d301-m3010,pcgrad,rho4_lag2,301,3010,available,1,1,0,0.15143434703350067
esb-pcgrad-rho4_lag2-d301-m3011,pcgrad,rho4_lag2,301,3011,available,1,1,0,0.14324226975440979
esb-pcgrad-rho4_lag2-d301-m3012,pcgrad,rho4_lag2,301,3012,available,1,1,0,0.14742946624755859
esb-pcgrad-rho4_lag2-d301-m3013,pcgrad,rho4_lag2,301,3013,available,1,1,0,0.15292826294898987
esb-pcgrad-rho4_lag2-d301-m3014,pcgrad,rho4_lag2,301,3014,available,1,1,0,0.15360811352729797
esb-pcgrad-rho4_lag2-d301-m3015,pcgrad,rho4_lag2,301,3015,available,1,1,0,0.15891563892364502
esb-pcgrad-rho4_lag2-d301-m3016,pcgrad,rho4_lag2,301,3016,available,1,1,0,0.15504562854766846
esb-pcgrad-rho4_lag2-d301-m3017,pcgrad,rho4_lag2,301,3017,available,1,1,0,0.159775510430336
esb-pcgrad-rho4_lag2-d302-m3010,pcgrad,rho4_lag2,302,3010,available,1,1,0,0.15181039273738861
esb-pcgrad-rho4_lag2-d302-m3011,pcgrad,rho4_lag2,302,3011,available,1,1,0,0.14359366893768311
esb-pcgrad-rho4_lag2-d302-m3012,pcgrad,rho4_lag2,302,3012,available,1,1,0,0.14783833920955658
esb-pcgrad-rho4_lag2-d302-m3013,pcgrad,rho4_lag2,302,3013,available,1,1,0,0.1533050537109375
esb-pcgrad-rho4_lag2-d302-m3014,pcgrad,rho4_lag2,302,3014,available,1,1,0,0.15395230054855347
esb-pcgrad-rho4_lag2-d302-m3015,pcgrad,rho4_lag2,302,3015,available,1,1,0,0.15929064154624939
esb-pcgrad-rho4_lag2-d302-m3016,pcgrad,rho4_lag2,302,3016,available,1,1,0,0.15535540878772736
esb-pcgrad-rho4_lag2-d302-m3017,pcgrad,rho4_lag2,302,3017,available,1,1,0,0.16006049513816833
esb-pcgrad-rho4_lag2-d303-m3010,pcgrad,rho4_lag2,303,3010,available,1,1,0,0.15143886208534241
esb-pcgrad-rho4_lag2-d303-m3011,pcgrad,rho4_lag2,303,3011,available,1,1,0,0.14319790899753571
esb-pcgrad-rho4_lag2-d303-m3012,pcgrad,rho4_lag2,303,3012,available,1,1,0,0.14750736951828003
esb-pcgrad-rho4_lag2-d303-m3013,pcgrad,rho4_lag2,303,3013,available,1,1,0,0.15292827785015106
esb-pcgrad-rho4_lag2-d303-m3014,pcgrad,rho4_lag2,303,3014,available,1,1,0,0.15358369052410126
esb-pcgrad-rho4_lag2-d303-m3015,pcgrad,rho4_lag2,303,3015,available,1,1,0,0.15889763832092285
esb-pcgrad-rho4_lag2-d303-m3016,pcgrad,rho4_lag2,303,3016,available,1,1,0,0.15517297387123108
esb-pcgrad-rho4_lag2-d303-m3017,pcgrad,rho4_lag2,303,3017,available,1,1,0,0.15979371964931488
esb-pcgrad-rho4_lag2-d304-m3010,pcgrad,rho4_lag2,304,3010,available,1,1,0,0.15174615383148193
esb-pcgrad-rho4_lag2-d304-m3011,pcgrad,rho4_lag2,304,3011,available,1,1,0,0.14350374042987823
esb-pcgrad-rho4_lag2-d304-m3012,pcgrad,rho4_lag2,304,3012,available,1,1,0,0.14773623645305634
esb-pcgrad-rho4_lag2-d304-m3013,pcgrad,rho4_lag2,304,3013,available,1,1,0,0.15324431657791138
esb-pcgrad-rho4_lag2-d304-m3014,pcgrad,rho4_lag2,304,3014,available,1,1,0,0.15387134253978729
esb-pcgrad-rho4_lag2-d304-m3015,pcgrad,rho4_lag2,304,3015,available,1,1,0,0.15919895470142365
esb-pcgrad-rho4_lag2-d304-m3016,pcgrad,rho4_lag2,304,3016,available,1,1,0,0.15533645451068878
esb-pcgrad-rho4_lag2-d304-m3017,pcgrad,rho4_lag2,304,3017,available,1,1,0,0.16002953052520752
esb-erm-rho5_lag3-d301-m3010,erm,rho5_lag3,301,3010,N/A,N/A,N/A,N/A,N/A
esb-erm-rho5_lag3-d301-m3011,erm,rho5_lag3,301,3011,N/A,N/A,N/A,N/A,N/A
esb-erm-rho5_lag3-d301-m3012,erm,rho5_lag3,301,3012,N/A,N/A,N/A,N/A,N/A
esb-erm-rho5_lag3-d301-m3013,erm,rho5_lag3,301,3013,N/A,N/A,N/A,N/A,N/A
esb-erm-rho5_lag3-d301-m3014,erm,rho5_lag3,301,3014,N/A,N/A,N/A,N/A,N/A
esb-erm-rho5_lag3-d301-m3015,erm,rho5_lag3,301,3015,N/A,N/A,N/A,N/A,N/A
