record_id,model_kind,cell_id,method_id,publication_label,data_seed,model_seed,weak_auc_gap,weak_rescue_score,beta_first_hit_delay,beta_first_hit_delay_status,final_both_weak_response,strong_response_auc,final_strong_response,absolute_strong_response_auc_difference_from_erm,absolute_final_strong_response_difference_from_erm,diagnostic_status,target_attainment_fraction,feasibility_fraction,cap_binding_fraction,max_absolute_strong_drift_change,paired_wall_time_ratio_to_erm,process_peak_rss_bytes,static_parameter_bytes,cuda_status
esb-erm-rho4_lag2-d301-m3010,tanh,rho4_lag2,erm,ERM,301,3010,24.072176025551745,-24.072176025551745,,right_censored,0.090055845677852631,12.104631625092587,1.6011940240859985,0,0,N/A,N/A,N/A,N/A,N/A,1,412434432,17152,N/A
esb-erm-rho4_lag2-d301-m3011,tanh,rho4_lag2,erm,ERM,301,3011,25.2378172357101,-25.2378172357101,,right_censored,0.13181954622268677,11.833071641763672,1.5753251314163208,0,0,N/A,N/A,N/A,N/A,N/A,1,410173440,17152,N/A
esb-erm-rho4_lag2-d301-m3012,tanh,rho4_lag2,erm,ERM,301,3012,25.011091579194179,-25.011091579194179,,right_censored,0.11750520765781403,12.096485627628862,1.5930228233337402,0,0,N/A,N/A,N/A,N/A,N/A,1,412712960,17152,N/A
esb-erm-rho4_lag2-d301-m3013,tanh,rho4_lag2,erm,ERM,301,3013,25.532591358991336,-25.532591358991336,,right_censored,0.12596328556537628,11.955671331938357,1.5805732011795044,0,0,N/A,N/A,N/A,N/A,N/A,1,404111360,17152,N/A
esb-erm-rho4_lag2-d301-m3014,tanh,rho4_lag2,erm,ERM,301,3014,24.995612731756413,-24.995612731756413,,right_censored,0.11333493143320084,11.937486491445451,1.5791012048721313,0,0,N/A,N/A,N/A,N/A,N/A,1,404684800,17152,N/A
esb-erm-rho4_lag2-d301-m3015,tanh,rho4_lag2,erm,ERM,301,3015,26.493405500077643,-26.493405500077643,,right_censored,0.1082741767168045,12.146810387447477,1.5990967750549316,0,0,N/A,N/A,N/A,N/A,N/A,1,406192128,17152,N/A
esb-erm-rho4_lag2-d301-m3016,tanh,rho4_lag2,erm,ERM,301,3016,22.290478429384528,-22.290478429384528,,right_censored,0.07974398136138916,12.04346933751367,1.594633936882019,0,0,N/A,N/A,N/A,N/A,N/A,1,396328960,17152,N/A
esb-erm-rho4_lag2-d301-m3017,tanh,rho4_lag2,erm,ERM,301,3017,24.091558776143941,-24.091558776143941,,right_censored,0.12918515503406525,11.967482238449154,1.5919235944747925,0,0,N/A,N/A,N/A,N/A,N/A,1,413270016,17152,N/A
esb-erm-rho4_lag2-d302-m3010,tanh,rho4_lag2,erm,ERM,302,3010,24.046225364366549,-24.046225364366549,,right_censored,0.093130946159362793,12.218101704283615,1.6195075511932373,0,0,N/A,N/A,N/A,N/A,N/A,1,377307136,17152,N/A
esb-erm-rho4_lag2-d302-m3011,tanh,rho4_lag2,erm,ERM,302,3011,25.211502928985283,-25.211502928985283,,right_censored,0.13609492778778076,11.943066130345688,1.5933411121368408,0,0,N/A,N/A,N/A,N/A,N/A,1,401784832,17152,N/A
esb-erm-rho4_lag2-d302-m3012,tanh,rho4_lag2,erm,ERM,302,3012,24.986733856657519,-24.986733856657519,,right_censored,0.12113691866397858,12.210223769582807,1.6112062931060791,0,0,N/A,N/A,N/A,N/A,N/A,1,393445376,17152,N/A
esb-erm-rho4_lag2-d302-m3013,tanh,rho4_lag2,erm,ERM,302,3013,25.508184842439366,-25.508184842439366,,right_censored,0.12974883615970612,12.068455108907074,1.5987756252288818,0,0,N/A,N/A,N/A,N/A,N/A,1,421855232,17152,N/A
esb-erm-rho4_lag2-d302-m3014,tanh,rho4_lag2,erm,ERM,302,3014,24.971574308571867,-24.971574308571867,,right_censored,0.11673595756292343,12.050459597352891,1.5974193811416626,0,0,N/A,N/A,N/A,N/A,N/A,1,396574720,17152,N/A
esb-erm-rho4_lag2-d302-m3015,tanh,rho4_lag2,erm,ERM,302,3015,26.469682131777517,-26.469682131777517,,right_censored,0.11230868101119995,12.26005759947002,1.6171984672546387,0,0,N/A,N/A,N/A,N/A,N/A,1,400195584,17152,N/A
