record_id,dataset,data_seed,model_seed,weak_auc_gap,weak_only_learnable,outcome_suppression,causal_certificate,both_first_hit_tau,weak_only_first_hit_tau,first_drift_crossing_tau,first_response_crossing_tau,drift_sign_change_count,response_sign_change_count,positive_drift_area,negative_drift_area,both_cue_free_accuracy,both_aligned_accuracy,both_conflicted_accuracy,weak_only_cue_free_accuracy,weak_only_aligned_accuracy,weak_only_conflicted_accuracy,wall_time_seconds,process_peak_rss_bytes
sr-mnist-d4101-m5101,mnist,4101,5101,-0.0032453027983137873,false,false,false,,,,,0,0,0.0020012522552860898,0,0.62890625,0.99609375,0.015625,0.58984375,0.66796875,0.46484375,43.084835124987876,732168192
sr-mnist-d4101-m5102,mnist,4101,5102,-0.00027156966971233462,false,false,false,,,,,1,1,0.0018913724089011544,0.00038046290359627406,0.5625,1,0.0078125,0.625,0.6484375,0.5859375,42.15251804201398,732168192
sr-mnist-d4101-m5103,mnist,4101,5103,0.0030051279201870782,false,false,false,,,4.2973570599027147,,3,0,7.643215687637222e-05,0.0009526982237926593,0.71875,1,0.0234375,0.609375,0.578125,0.6328125,43.047580457990989,732168192
sr-mnist-d4101-m5104,mnist,4101,5104,0.003245060093468055,false,false,false,,,,,1,0,0.00039903081575050423,0.00086559317074590809,0.63671875,1,0.1015625,0.50390625,0.5,0.50390625,49.395532208000077,732168192
sr-mnist-d4101-m5105,mnist,4101,5105,-0.0064872447648667729,false,false,false,,,,,0,0,0.0040937790385214617,0,0.6796875,0.9921875,0.04296875,0.50390625,0.57421875,0.48828125,54.485676000011154,732168192
sr-mnist-d4101-m5106,mnist,4101,5106,-0.00081775486687547523,false,false,false,,,,,1,1,0.00049271483801236035,8.3864484371212792e-06,0.59765625,1,0,0.66796875,0.4375,0.74609375,55.576252999977442,732168192
sr-mnist-d4101-m5107,mnist,4101,5107,-0.0043942185639025411,false,false,false,,,,,0,0,0.0027284346026135598,0,0.51171875,0.9921875,0.0078125,0.50390625,0.796875,0.2109375,53.428607375011779,732168192
sr-mnist-d4101-m5108,mnist,4101,5108,0.0030011137758265247,false,false,false,,,,,0,0,0,0.00093994007461333223,0.5234375,1,0,0.5,0.5,0.5,51.282749582984252,732168192
sr-mnist-d4102-m5101,mnist,4102,5101,-0.0026105072451173324,false,false,false,,,,,0,0,0.0016413802695751662,0,0.59375,0.99609375,0.02734375,0.58203125,0.69140625,0.41015625,57.511821666994365,732168192
sr-mnist-d4102-m5102,mnist,4102,5102,-0.0040363499836530538,false,false,false,,,,,1,1,0.002890375754558337,6.0900263440272228e-06,0.578125,1,0.01171875,0.61328125,0.66015625,0.546875,52.733050582988653,732168192
